trade_date,normsettle,normper,normjc,normcje,normccl
20150209,0.139867052,0.048457332,0.308110515,-0.036726964,-0.725205071
20150210,-0.289645035,0.061569714,-0.099848482,-0.038336059,-0.728186983
20150210,0.242919864,0.064264265,0.446525175,-0.038030515,-0.725183923
20150211,-0.340795336,0.037971629,-0.059781081,-0.03745494,-0.715286513
20150211,0.239911023,0.052045519,0.486592576,-0.037056666,-0.720298663
20150212,-0.504777183,0.033632759,-0.227335669,-0.038436683,-0.725987559
20150212,-0.382166903,0.038859952,-0.045211117,-0.038200308,-0.709872546
20150212,0.220353555,0.049599598,0.50116254,-0.037568055,-0.71896632
20150213,-0.564201798,0.017954518,-0.205480723,-0.037554194,-0.715117327
20150213,-0.462653406,0.020977203,-0.02335617,-0.037365596,-0.706742596
20150213,0.178229778,0.046529526,0.523017487,-0.033341395,-0.721102299
20150216,-0.556679695,0.058455533,-0.190910759,-0.039147546,-0.713065941
20150216,-0.444600359,0.059275985,-0.008786206,-0.039135866,-0.704966137
20150216,0.200043877,0.055171117,0.537587451,-0.038934867,-0.720996557
20150217,-0.523582441,0.069229907,-0.128988411,-0.038937219,-0.710084029
20150217,-0.392697847,0.071274017,0.053136142,-0.038987397,-0.702386043
20150217,0.277521539,0.060012229,0.599509799,-0.038726058,-0.722815312
20150225,-0.628891885,-0.018172985,-0.278330544,-0.038614294,-0.709491876
20150225,-0.534865596,-0.00781616,-0.096205991,-0.038387126,-0.69955217
20150225,0.023274454,0.018627911,0.450167666,-0.037756567,-0.717443641
20150226,-0.457387934,0.115749656,0.01306874,-0.038796259,-0.705537142
20150226,-0.292653876,0.113574481,0.195193292,-0.038702227,-0.696739444
20150226,0.439246755,0.096141014,0.74156695,-0.038439277,-0.717464789
20150227,-0.580750425,0.044292946,-0.212765705,-0.037940845,-0.716386226
20150227,-0.47092772,0.044217945,-0.030641152,-0.037863831,-0.700694178
20150227,-0.320485658,0.044377493,0.1514834,-0.037879465,-0.691811888
20150227,0.454290961,0.052143115,0.697857057,-0.038441293,-0.71807809
20150302,-0.567210639,0.055860086,-0.201838232,-0.03871443,-0.709534173
20150302,-0.459644565,0.052727813,-0.019713679,-0.038429527,-0.695364804
20150302,-0.30318482,0.053186097,0.162410873,-0.038107406,-0.690458396
20150302,0.415928236,0.05030302,0.70878453,-0.038136258,-0.716365077
20150303,-0.704112916,-0.130132824,-0.482310042,-0.03899279,-0.702068819
20150303,-0.649201563,-0.100112321,-0.30018549,-0.039010777,-0.692002222
20150303,-0.558936326,-0.072515168,-0.118060938,-0.038830592,-0.691325477
20150303,-0.012079431,-0.003450702,0.428312719,-0.038908434,-0.717782014
20150304,-0.717652701,0.026682652,-0.489595024,-0.039159381,-0.694455427
20150304,-0.664997979,0.035976436,-0.307470472,-0.038966853,-0.689422128
20150304,-0.579246004,0.037008412,-0.12534592,-0.038889308,-0.690648731
20150304,-0.039159002,0.046013723,0.421027737,-0.03856356,-0.71721101
20150305,-0.751502165,-0.052273392,-0.591584774,-0.039252727,-0.691219735
20150305,-0.722165963,-0.042873863,-0.409460221,-0.039118373,-0.688364713
20150305,-0.66575019,-0.021485501,-0.227335669,-0.038669712,-0.682908449
20150305,-0.226459369,0.020961969,0.319037988,-0.037203565,-0.71006288
20150306,-0.753006586,0.050247052,-0.573372318,-0.039252161,-0.688999162
20150306,-0.721413753,0.054394675,-0.391247766,-0.039014239,-0.68840701
20150306,-0.664997979,0.055962184,-0.209123214,-0.038786119,-0.686355623
20150306,-0.199379798,0.053456848,0.337250443,-0.03810185,-0.709893694
20150309,-0.730440276,0.10654002,-0.362107838,-0.03921258,-0.687476484
20150309,-0.674024503,0.106616754,-0.179983285,-0.038952484,-0.68451572
20150309,-0.581502635,0.105007435,0.002141267,-0.038457366,-0.675020128
20150309,0.066902652,0.096528382,0.548514924,-0.0376069,-0.706192739
20150310,-0.761280899,-0.08763912,-0.500522498,-0.039290395,-0.687391891
20150310,-0.730440276,-0.063787815,-0.318397945,-0.039219211,-0.689337535
20150310,-0.668759031,-0.030202346,-0.136273393,-0.038964457,-0.679313236
20150310,-0.139202973,0.019084243,0.410100264,-0.038156616,-0.709470728
20150311,-0.766546371,0.019839794,-0.445885132,-0.039291692,-0.687539929
20150311,-0.73796238,0.032322369,-0.263760579,-0.039181554,-0.689633612
20150311,-0.675528924,0.046555941,-0.081636027,-0.038960248,-0.680243761
20150311,-0.112875612,0.05085043,0.46473763,-0.038408247,-0.711500966
20150312,-0.719157122,0.125676782,-0.176340794,-0.039136173,-0.692848155
20150312,-0.633405146,0.123823714,0.005783758,-0.038864861,-0.683944716
20150312,-0.494998449,0.123938403,0.18790831,-0.038394617,-0.680201465
20150312,0.335441733,0.095923746,0.734281967,-0.037528105,-0.711247186
20150313,-0.719909332,0.043472155,-0.150843357,-0.039052287,-0.69403246
20150313,-0.631148516,0.04953497,0.031281195,-0.038706181,-0.68276041
20150313,-0.475440981,0.055594779,0.213405748,-0.03833296,-0.680899359
20150313,0.406149502,0.053759068,0.759779405,-0.038236545,-0.713192831
20150316,-0.660484718,0.107224158,0.049493651,-0.038929469,-0.690204616
20150316,-0.503272763,0.101638256,0.231618203,-0.038672808,-0.677050366
20150316,-0.257299992,0.098890315,0.413742755,-0.037771825,-0.682295148
20150316,0.8145997,0.076111824,0.960116412,-0.036995189,-0.712431491
20150317,-0.579998214,0.085971988,0.169695855,-0.038502494,-0.690669879
20150317,-0.411503105,0.064096989,-0.012428697,-0.038859537,-0.729519327
20150317,-0.372388169,0.079368041,0.351820407,-0.038214483,-0.681047397
20150317,-0.072256255,0.072990204,0.53394496,-0.038322229,-0.685530839
20150317,1.059820261,0.058387009,1.080318617,-0.037894043,-0.711839339
20150318,-0.357343963,0.098584918,0.053136142,-0.038847753,-0.727954352
20150318,-0.263317674,0.121263042,0.417385246,-0.038292611,-0.688681938
20150318,-0.191857695,0.093379994,0.235260694,-0.038653145,-0.722434643
20150318,0.079690227,0.111497462,0.599509799,-0.037835789,-0.688703086
20150318,0.42721139,0.098699837,0.781634351,-0.037536396,-0.693398011
20150318,1.56756222,0.075303355,1.328008008,-0.038066703,-0.713615797
20150319,-0.504777183,0.05111644,-0.216408196,-0.039048958,-0.730259518
20150319,-0.389689006,0.028909232,0.329965461,-0.03797286,-0.699657911
20150319,-0.389689006,0.049636729,-0.034283644,-0.038793368,-0.727510237
20150319,-0.228716,0.048359998,0.147840909,-0.03848481,-0.720002587
20150319,-0.10685793,0.028552125,0.512090014,-0.038098637,-0.69403246
20150319,0.247433126,0.03552029,0.694214566,-0.038363909,-0.696147292
20150319,1.385527325,0.050521038,1.240588223,-0.038187002,-0.714736657
20150320,-0.370883748,0.088682013,-0.041568626,-0.038676465,-0.725120478
20150320,-0.218185055,0.086144022,0.140555927,-0.038502124,-0.725183923
20150320,-0.125663187,0.09704146,0.504805031,-0.037269788,-0.706023553
20150320,-0.022610375,0.08150026,0.322680479,-0.037991149,-0.72021407
20150320,0.235397761,0.087604057,0.686929584,-0.035953469,-0.706975227
20150320,0.628051543,0.081480711,0.869054136,-0.036480759,-0.705008434
20150320,1.745083853,0.06559387,1.415427793,-0.035217563,-0.720890816
20150323,-0.367874907,0.076131313,-0.074351045,-0.038738361,-0.726833491
20150323,-0.227963789,0.071541618,0.107773507,-0.038706869,-0.721186892
20150323,-0.036902371,0.067641926,0.28989806,-0.038297345,-0.722836461
20150323,0.168451044,0.065817657,0.472022612,-0.038125729,-0.719135506
20150323,0.175973147,0.066945989,0.654147164,-0.038025645,-0.711416372
20150323,0.54681283,0.067111772,0.836271717,-0.038135572,-0.710972258
20150323,0.919156933,0.058265069,1.018396269,-0.037520892,-0.709428431
20150323,2.068534286,0.061238054,1.564769926,-0.038848504,-0.7217156
20150324,-0.547653171,0.019644903,-0.394890257,-0.038828907,-0.722582681
20150324,-0.443095938,0.032438055,-0.212765705,-0.038809095,-0.721779045
20150324,-0.309954713,0.038382128,-0.030641152,-0.038686456,-0.718437612
20150324,-0.145220655,0.034630831,0.1514834,-0.038117471,-0.715117327
20150324,-0.100840247,0.004272685,0.515732505,-0.038597251,-0.71194508
20150324,0.011239089,0.026272587,0.333607952,-0.037792567,-0.717591679
20150324,0.316636475,0.035458539,0.697857057,-0.038754727,-0.710760775
20150324,0.643095749,0.026760685,0.879981609,-0.038970932,-0.71006288
20150324,1.772163424,0.039478923,1.426355266,-0.038774055,-0.722265456
20150325,-0.632652936,-0.004757152,-0.518734953,-0.038795289,-0.714334839
20150325,-0.566458429,-0.005605215,-0.3366104,-0.038886484,-0.71807809
20150325,-0.462653406,0.004412998,-0.154485848,-0.038802439,-0.715349958
20150325,-0.379158062,-0.018506027,0.391887809,-0.037889983,-0.721208041
20150325,-0.306945872,0.020785777,0.027638704,-0.038442542,-0.712156563
20150325,-0.165530334,0.020518203,0.209763257,-0.03855345,-0.719198951
20150325,-0.003052907,0.012421422,0.574012361,-0.037637763,-0.714652064
20150325,0.373052248,0.024078652,0.756136914,-0.038121467,-0.709555321
20150325,1.501367713,0.038883365,1.302510571,-0.038526733,-0.722667274
20150326,-0.582254845,0.085022395,-0.376677802,-0.038885757,-0.70680604
20150326,-0.49575066,0.084686291,-0.19455325,-0.038870983,-0.71520192
20150326,-0.376149221,0.079665663,-0.012428697,-0.038585818,-0.711056851
20150326,-0.219689476,0.075365212,0.169695855,-0.038289926,-0.710147474
20150326,-0.026371426,0.077941041,0.351820407,-0.03804497,-0.716872637
20150327,-0.559688536,0.062021146,-0.354822856,-0.039059101,-0.704268243
20150327,-0.468671089,0.05890897,-0.172698303,-0.039204853,-0.713933021
20150327,-0.335529864,0.061544118,0.009426249,-0.038947661,-0.708413312
20150327,-0.169291385,0.05861364,0.191550801,-0.038521573,-0.708349867
20150327,0.03831866,0.055640532,0.373675354,-0.038378977,-0.715392255
20150330,-0.358848383,0.103967668,-0.02335617,-0.038344977,-0.699319538
20150330,-0.192609905,0.101547276,0.158768382,-0.038766618,-0.712537233
20150330,-0.003805117,0.099805564,0.340892934,-0.038396813,-0.710020584
20150330,0.242919864,0.095509466,0.523017487,-0.037913184,-0.710887665
20150330,0.47384843,0.090475992,0.705142039,-0.037808126,-0.717697421
20150331,-0.525086862,-0.007927175,-0.325682927,-0.038063669,-0.718141535
20150331,-0.432564994,-0.009319318,-0.143558375,-0.037032404,-0.6910294
20150331,-0.286636194,0.001733494,0.038566177,-0.038032048,-0.709661063
20150331,-0.134689711,0.002204757,0.22069073,-0.037805489,-0.71057044
20150331,0.115796322,0.01602776,0.402815282,-0.036844265,-0.710232067
20150331,0.30460111,0.017692781,0.584939834,-0.037242569,-0.7173379
20150401,-0.415264157,0.089590719,-0.158128339,-0.03778374,-0.698304419
20150401,-0.273096408,0.092653266,0.023996213,-0.037207982,-0.67950357
20150401,-0.104601299,0.087942654,0.206120766,-0.036577257,-0.689950836
20150401,0.075929176,0.080292208,0.388245318,-0.03742127,-0.701815039
20150401,0.30535332,0.073714766,0.57036987,-0.037016263,-0.708371016
20150401,0.569379139,0.071874501,0.752494423,-0.038187482,-0.717464789
20150402,-0.392697847,0.055270185,-0.209123214,-0.037418061,-0.671974772
20150402,-0.273848618,0.032101204,-0.026998661,-0.037218098,-0.662965591
20150402,-0.123406556,0.033486629,0.155125891,-0.036907601,-0.676923476
20150402,0.058628339,0.045190173,0.337250443,-0.037242469,-0.70054614
20150402,0.312875423,0.048539775,0.519374996,-0.037835715,-0.709259245
20150402,0.553582722,0.043849301,0.701499548,-0.038294143,-0.715307662
20150403,-0.333273233,0.072510438,-0.085278518,-0.037751258,-0.662161955
20150403,-0.198627587,0.072436667,0.096846034,-0.037386537,-0.661696692
20150403,-0.03539795,0.069394413,0.278970587,-0.03767621,-0.674406827
20150403,0.157920099,0.068395872,0.461095139,-0.038014976,-0.69792375
20150403,0.414423815,0.068249719,0.643219691,-0.038280438,-0.709238096
20150403,0.681458475,0.068245923,0.825344244,-0.038304352,-0.716470819
20150407,-0.215928425,0.07287072,0.166053364,-0.036329096,-0.65421019
20150407,-0.033141319,0.075148503,0.348177916,-0.035889856,-0.667449033
20150407,0.188760722,0.076230871,0.530302469,-0.036814216,-0.671594102
20150407,0.438494545,0.076222271,0.712427021,-0.037176662,-0.694243943
20150407,0.756679506,0.075373493,0.894551573,-0.037620195,-0.711775894
