trade_date,per,normcjl,normcje,normccl,q,iv
20150209,-0.038367347,-0.459350142,-0.036726964,-0.725205071,0.045260197,0.342990875
20150210,0.072347267,-0.464420112,-0.038336059,-0.728186983,-0.226562078,0.210269928
20150210,0.095098756,-0.470977273,-0.038030515,-0.725183923,0.342611998,0.464298248
20150211,-0.126903553,-0.448720105,-0.03745494,-0.715286513,-0.232199816,0.174659729
20150211,-0.008070433,-0.463744116,-0.037056666,-0.720298663,0.301473029,0.42842865
20150212,-0.163538874,-0.45468577,-0.038436683,-0.725987559,-0.357296934,0.126394272
20150212,-0.119402985,-0.457339054,-0.038200308,-0.709872546,0.020941407,0.252458572
20150212,-0.0287226,-0.466955097,-0.037568055,-0.71896632,0.420885982,0.467666626
20150213,-0.295918367,-0.429842917,-0.037554194,-0.715117327,-0.359158525,0.097740173
20150213,-0.27039627,-0.442247444,-0.037365596,-0.706742596,0.037436052,0.217878342
20150213,-0.054644809,-0.433527096,-0.033341395,-0.721102299,0.406679312,0.434627533
20150216,0.046052632,-0.474576952,-0.039147546,-0.713065941,-0.395180623,0.096214294
20150216,0.052980132,-0.47665564,-0.039135866,-0.704966137,0.016042253,0.222177505
20150216,0.018320611,-0.47824423,-0.038934867,-0.720996557,0.417509899,0.446239471
20150217,0.137026239,-0.469168984,-0.038937219,-0.710084029,-0.357099736,0.101800919
20150217,0.154285714,-0.474407953,-0.038987397,-0.702386043,0.02189996,0.226291656
20150217,0.059196617,-0.477145737,-0.038726058,-0.722815312,0.419848693,0.452997208
20150225,-0.600961538,-0.450173497,-0.038614294,-0.709491876,-0.584186253,0.100662231
20150225,-0.513513514,-0.455142067,-0.038387126,-0.69955217,0.026686372,0.245544434
20150225,-0.290232558,-0.467293095,-0.037756567,-0.717443641,0.658021201,0.505363464
20150226,0.529816514,-0.462594923,-0.038796259,-0.705537142,-0.377654476,0.106960297
20150226,0.511450382,-0.467056497,-0.038702227,-0.696739444,0.039619118,0.24937439
20150226,0.364250614,-0.474019255,-0.038439277,-0.717464789,0.501964924,0.502918243
20150227,-0.073529412,-0.430147116,-0.037940845,-0.716386226,-0.640339043,0.085128784
20150227,-0.074162679,-0.44630342,-0.037863831,-0.700694178,-0.15232805,0.209510803
20150227,-0.072815534,-0.457693952,-0.037879465,-0.691811888,0.191806842,0.309677124
