,ts_code,name,opt_code,opt_type,exercise_price,list_date,delist_date
0,10003652.SH,华泰柏瑞沪深300ETF期权2111认沽4.70,OP510300.SH,ETF期权,4.7,20210923,20211124
1,10004160.SH,华泰柏瑞沪深300ETF期权2209认购3.70,OP510300.SH,ETF期权,3.7,20220316,20220928
2,10004964.SH,华泰柏瑞沪深300ETF期权2302认购4.135,OP510300.SH,ETF期权,4.135,20221229,20230222
3,10004190.SH,华泰柏瑞沪深300ETF期权2205认沽3.90,OP510300.SH,ETF期权,3.9,20220324,20220525
4,10005290.SH,华泰柏瑞沪深300ETF期权2305认沽3.80,OP510300.SH,ETF期权,3.8,20230323,20230524
5,10003875.SH,华泰柏瑞沪深300ETF期权2202认沽5.662,OP510300.SH,ETF期权,5.662,20211223,20220223
6,10003081.SH,华泰柏瑞沪深300ETF期权2102认购6.169,OP510300.SH,ETF期权,6.169,20201229,20210224
7,10003082.SH,华泰柏瑞沪深300ETF期权2102认沽6.169,OP510300.SH,ETF期权,6.169,20201229,20210224
8,10005102.SH,华泰柏瑞沪深300ETF期权2303认沽4.60,OP510300.SH,ETF期权,4.6,20230120,20230322
9,10004365.SH,华泰柏瑞沪深300ETF期权2208认购4.50,OP510300.SH,ETF期权,4.5,20220623,20220824
10,10003281.SH,华泰柏瑞沪深300ETF期权2104认购4.80,OP510300.SH,ETF期权,4.8,20210225,20210428
11,10003489.SH,华泰柏瑞沪深300ETF期权2108认沽4.80,OP510300.SH,ETF期权,4.8,20210624,20210825
12,10004481.SH,华泰柏瑞沪深300ETF期权2210认购4.30,OP510300.SH,ETF期权,4.3,20220825,20221026
13,10004615.SH,华泰柏瑞沪深300ETF期权2211认购3.70,OP510300.SH,ETF期权,3.7,20220929,20221123
14,10004483.SH,华泰柏瑞沪深300ETF期权2210认购4.50,OP510300.SH,ETF期权,4.5,20220825,20221026
15,10004800.SH,华泰柏瑞沪深300ETF期权2301认购3.643,OP510300.SH,ETF期权,3.643,20221124,20230130
16,10003522.SH,华泰柏瑞沪深300ETF期权2108认购4.50,OP510300.SH,ETF期权,4.5,20210728,20210825
17,10003705.SH,华泰柏瑞沪深300ETF期权2206认购4.431,OP510300.SH,ETF期权,4.431,20211029,20220622
18,10002789.SH,华泰柏瑞沪深300ETF期权2010认购4.40,OP510300.SH,ETF期权,4.4,20200827,20201028
19,10002790.SH,华泰柏瑞沪深300ETF期权2010认购4.50,OP510300.SH,ETF期权,4.5,20200827,20201028
20,10002791.SH,华泰柏瑞沪深300ETF期权2010认购4.60,OP510300.SH,ETF期权,4.6,20200827,20201028
21,10002792.SH,华泰柏瑞沪深300ETF期权2010认购4.70,OP510300.SH,ETF期权,4.7,20200827,20201028
22,10002793.SH,华泰柏瑞沪深300ETF期权2010认购4.80,OP510300.SH,ETF期权,4.8,20200827,20201028
23,10002794.SH,华泰柏瑞沪深300ETF期权2010认购4.90,OP510300.SH,ETF期权,4.9,20200827,20201028
24,10002795.SH,华泰柏瑞沪深300ETF期权2010认购5.00,OP510300.SH,ETF期权,5.0,20200827,20201028
25,10002796.SH,华泰柏瑞沪深300ETF期权2010认购5.25,OP510300.SH,ETF期权,5.25,20200827,20201028
26,10002797.SH,华泰柏瑞沪深300ETF期权2010认购5.50,OP510300.SH,ETF期权,5.5,20200827,20201028
27,10002798.SH,华泰柏瑞沪深300ETF期权2010认沽4.40,OP510300.SH,ETF期权,4.4,20200827,20201028
28,10002799.SH,华泰柏瑞沪深300ETF期权2010认沽4.50,OP510300.SH,ETF期权,4.5,20200827,20201028
29,10002800.SH,华泰柏瑞沪深300ETF期权2010认沽4.60,OP510300.SH,ETF期权,4.6,20200827,20201028
30,10002801.SH,华泰柏瑞沪深300ETF期权2010认沽4.70,OP510300.SH,ETF期权,4.7,20200827,20201028
31,10002802.SH,华泰柏瑞沪深300ETF期权2010认沽4.80,OP510300.SH,ETF期权,4.8,20200827,20201028
32,10002803.SH,华泰柏瑞沪深300ETF期权2010认沽4.90,OP510300.SH,ETF期权,4.9,20200827,20201028
33,10002804.SH,华泰柏瑞沪深300ETF期权2010认沽5.00,OP510300.SH,ETF期权,5.0,20200827,20201028
34,10002805.SH,华泰柏瑞沪深300ETF期权2010认沽5.25,OP510300.SH,ETF期权,5.25,20200827,20201028
35,10002806.SH,华泰柏瑞沪深300ETF期权2010认沽5.50,OP510300.SH,ETF期权,5.5,20200827,20201028
36,10004107.SH,华泰柏瑞沪深300ETF期权2203认购3.80,OP510300.SH,ETF期权,3.8,20220310,20220323
37,10003654.SH,华泰柏瑞沪深300ETF期权2111认沽4.90,OP510300.SH,ETF期权,4.9,20210923,20211124
38,10004393.SH,华泰柏瑞沪深300ETF期权2208认购4.90,OP510300.SH,ETF期权,4.9,20220628,20220824
39,10003558.SH,华泰柏瑞沪深300ETF期权2203认沽4.332,OP510300.SH,ETF期权,4.332,20210729,20220323
40,10004151.SH,华泰柏瑞沪深300ETF期权2204认购3.60,OP510300.SH,ETF期权,3.6,20220316,20220427
41,10003294.SH,华泰柏瑞沪深300ETF期权2104认沽5.50,OP510300.SH,ETF期权,5.5,20210225,20210428
42,10002373.SH,华泰柏瑞沪深300ETF期权2004认购3.50,OP510300.SH,ETF期权,3.5,20200302,20200422
43,10002374.SH,华泰柏瑞沪深300ETF期权2004认购3.60,OP510300.SH,ETF期权,3.6,20200302,20200422
44,10002375.SH,华泰柏瑞沪深300ETF期权2004认沽3.50,OP510300.SH,ETF期权,3.5,20200302,20200422
45,10002376.SH,华泰柏瑞沪深300ETF期权2004认沽3.60,OP510300.SH,ETF期权,3.6,20200302,20200422
46,10003530.SH,华泰柏瑞沪深300ETF期权2112认沽4.50,OP510300.SH,ETF期权,4.5,20210728,20211222
47,10003494.SH,华泰柏瑞沪深300ETF期权2108认沽5.75,OP510300.SH,ETF期权,5.75,20210624,20210825
48,10004423.SH,华泰柏瑞沪深300ETF期权2303认购3.84,OP510300.SH,ETF期权,3.84,20220728,20230322
49,10003608.SH,华泰柏瑞沪深300ETF期权2110认沽4.60,OP510300.SH,ETF期权,4.6,20210826,20211027
50,10003874.SH,华泰柏瑞沪深300ETF期权2202认沽5.416,OP510300.SH,ETF期权,5.416,20211223,20220223
51,10004710.SH,华泰柏瑞沪深300ETF期权2306认沽3.643,OP510300.SH,ETF期权,3.643,20221027,20230628
52,10004195.SH,华泰柏瑞沪深300ETF期权2205认沽4.40,OP510300.SH,ETF期权,4.4,20220324,20220525
53,10003458.SH,华泰柏瑞沪深300ETF期权2107认沽4.60,OP510300.SH,ETF期权,4.6,20210617,20210728
54,10003408.SH,华泰柏瑞沪深300ETF期权2112认沽6.25,OP510300.SH,ETF期权,6.25,20210429,20211222
55,10003307.SH,华泰柏瑞沪深300ETF期权2103认购4.60,OP510300.SH,ETF期权,4.6,20210309,20210324
56,10004958.SH,华泰柏瑞沪深300ETF期权2302认购3.544,OP510300.SH,ETF期权,3.544,20221229,20230222
57,10004439.SH,华泰柏瑞沪深300ETF期权2303认沽4.529,OP510300.SH,ETF期权,4.529,20220728,20230322
58,10004015.SH,华泰柏瑞沪深300ETF期权2206认购4.20,OP510300.SH,ETF期权,4.2,20220128,20220622
59,10003859.SH,华泰柏瑞沪深300ETF期权2202认购4.529,OP510300.SH,ETF期权,4.529,20211223,20220223
60,10003253.SH,华泰柏瑞沪深300ETF期权2109认购6.75,OP510300.SH,ETF期权,6.75,20210210,20210922
61,10004008.SH,华泰柏瑞沪深300ETF期权2209认沽4.90,OP510300.SH,ETF期权,4.9,20220127,20220928
62,10002495.SH,华泰柏瑞沪深300ETF期权2012认购3.40,OP510300.SH,ETF期权,3.4,20200423,20201223
63,10002496.SH,华泰柏瑞沪深300ETF期权2012认购3.50,OP510300.SH,ETF期权,3.5,20200423,20201223
64,10002497.SH,华泰柏瑞沪深300ETF期权2012认购3.60,OP510300.SH,ETF期权,3.6,20200423,20201223
65,10002498.SH,华泰柏瑞沪深300ETF期权2012认购3.70,OP510300.SH,ETF期权,3.7,20200423,20201223
66,10002499.SH,华泰柏瑞沪深300ETF期权2012认购3.80,OP510300.SH,ETF期权,3.8,20200423,20201223
67,10002500.SH,华泰柏瑞沪深300ETF期权2012认购3.90,OP510300.SH,ETF期权,3.9,20200423,20201223
68,10002501.SH,华泰柏瑞沪深300ETF期权2012认购4.00,OP510300.SH,ETF期权,4.0,20200423,20201223
69,10002502.SH,华泰柏瑞沪深300ETF期权2012认购4.10,OP510300.SH,ETF期权,4.1,20200423,20201223
70,10002503.SH,华泰柏瑞沪深300ETF期权2012认购4.20,OP510300.SH,ETF期权,4.2,20200423,20201223
71,10002504.SH,华泰柏瑞沪深300ETF期权2012认沽3.40,OP510300.SH,ETF期权,3.4,20200423,20201223
72,10002505.SH,华泰柏瑞沪深300ETF期权2012认沽3.50,OP510300.SH,ETF期权,3.5,20200423,20201223
73,10002506.SH,华泰柏瑞沪深300ETF期权2012认沽3.60,OP510300.SH,ETF期权,3.6,20200423,20201223
74,10002507.SH,华泰柏瑞沪深300ETF期权2012认沽3.70,OP510300.SH,ETF期权,3.7,20200423,20201223
75,10002508.SH,华泰柏瑞沪深300ETF期权2012认沽3.80,OP510300.SH,ETF期权,3.8,20200423,20201223
76,10002509.SH,华泰柏瑞沪深300ETF期权2012认沽3.90,OP510300.SH,ETF期权,3.9,20200423,20201223
77,10002510.SH,华泰柏瑞沪深300ETF期权2012认沽4.00,OP510300.SH,ETF期权,4.0,20200423,20201223
78,10002511.SH,华泰柏瑞沪深300ETF期权2012认沽4.10,OP510300.SH,ETF期权,4.1,20200423,20201223
79,10002512.SH,华泰柏瑞沪深300ETF期权2012认沽4.20,OP510300.SH,ETF期权,4.2,20200423,20201223
80,10004749.SH,华泰柏瑞沪深300ETF期权2211认购3.20,OP510300.SH,ETF期权,3.2,20221031,20221123
81,10004750.SH,华泰柏瑞沪深300ETF期权2211认沽3.20,OP510300.SH,ETF期权,3.2,20221031,20221123
82,10004751.SH,华泰柏瑞沪深300ETF期权2212认购3.20,OP510300.SH,ETF期权,3.2,20221031,20221228
83,10004752.SH,华泰柏瑞沪深300ETF期权2212认沽3.20,OP510300.SH,ETF期权,3.2,20221031,20221228
