index,,,,price,st,ed,type
10000001.SH,华夏上证50ETF期权1503认购2.20,OP510050.SH,ETF期权,2.2,20150209,20150325,购
10000002.SH,华夏上证50ETF期权1503认购2.25,OP510050.SH,ETF期权,2.25,20150209,20150325,购
10000003.SH,华夏上证50ETF期权1503认购2.30,OP510050.SH,ETF期权,2.3,20150209,20150325,购
10000004.SH,华夏上证50ETF期权1503认购2.35,OP510050.SH,ETF期权,2.35,20150209,20150325,购
10000005.SH,华夏上证50ETF期权1503认购2.40,OP510050.SH,ETF期权,2.4,20150209,20150325,购
10000006.SH,华夏上证50ETF期权1503认沽2.20,OP510050.SH,ETF期权,2.2,20150209,20150325,沽
10000007.SH,华夏上证50ETF期权1503认沽2.25,OP510050.SH,ETF期权,2.25,20150209,20150325,沽
10000008.SH,华夏上证50ETF期权1503认沽2.30,OP510050.SH,ETF期权,2.3,20150209,20150325,沽
10000009.SH,华夏上证50ETF期权1503认沽2.35,OP510050.SH,ETF期权,2.35,20150209,20150325,沽
10000010.SH,华夏上证50ETF期权1503认沽2.40,OP510050.SH,ETF期权,2.4,20150209,20150325,沽
10000011.SH,华夏上证50ETF期权1504认购2.20,OP510050.SH,ETF期权,2.2,20150209,20150422,购
10000012.SH,华夏上证50ETF期权1504认购2.25,OP510050.SH,ETF期权,2.25,20150209,20150422,购
10000013.SH,华夏上证50ETF期权1504认购2.30,OP510050.SH,ETF期权,2.3,20150209,20150422,购
10000014.SH,华夏上证50ETF期权1504认购2.35,OP510050.SH,ETF期权,2.35,20150209,20150422,购
10000015.SH,华夏上证50ETF期权1504认购2.40,OP510050.SH,ETF期权,2.4,20150209,20150422,购
10000016.SH,华夏上证50ETF期权1504认沽2.20,OP510050.SH,ETF期权,2.2,20150209,20150422,沽
10000017.SH,华夏上证50ETF期权1504认沽2.25,OP510050.SH,ETF期权,2.25,20150209,20150422,沽
10000018.SH,华夏上证50ETF期权1504认沽2.30,OP510050.SH,ETF期权,2.3,20150209,20150422,沽
10000019.SH,华夏上证50ETF期权1504认沽2.35,OP510050.SH,ETF期权,2.35,20150209,20150422,沽
10000020.SH,华夏上证50ETF期权1504认沽2.40,OP510050.SH,ETF期权,2.4,20150209,20150422,沽
10000021.SH,华夏上证50ETF期权1506认购2.20,OP510050.SH,ETF期权,2.2,20150209,20150624,购
10000022.SH,华夏上证50ETF期权1506认购2.25,OP510050.SH,ETF期权,2.25,20150209,20150624,购
10000023.SH,华夏上证50ETF期权1506认购2.30,OP510050.SH,ETF期权,2.3,20150209,20150624,购
10000024.SH,华夏上证50ETF期权1506认购2.35,OP510050.SH,ETF期权,2.35,20150209,20150624,购
10000025.SH,华夏上证50ETF期权1506认购2.40,OP510050.SH,ETF期权,2.4,20150209,20150624,购
10000026.SH,华夏上证50ETF期权1506认沽2.20,OP510050.SH,ETF期权,2.2,20150209,20150624,沽
10000027.SH,华夏上证50ETF期权1506认沽2.25,OP510050.SH,ETF期权,2.25,20150209,20150624,沽
10000028.SH,华夏上证50ETF期权1506认沽2.30,OP510050.SH,ETF期权,2.3,20150209,20150624,沽
10000029.SH,华夏上证50ETF期权1506认沽2.35,OP510050.SH,ETF期权,2.35,20150209,20150624,沽
10000030.SH,华夏上证50ETF期权1506认沽2.40,OP510050.SH,ETF期权,2.4,20150209,20150624,沽
10000031.SH,华夏上证50ETF期权1509认购2.20,OP510050.SH,ETF期权,2.2,20150209,20150923,购
10000032.SH,华夏上证50ETF期权1509认购2.25,OP510050.SH,ETF期权,2.25,20150209,20150923,购
10000033.SH,华夏上证50ETF期权1509认购2.30,OP510050.SH,ETF期权,2.3,20150209,20150923,购
10000034.SH,华夏上证50ETF期权1509认购2.35,OP510050.SH,ETF期权,2.35,20150209,20150923,购
10000035.SH,华夏上证50ETF期权1509认购2.40,OP510050.SH,ETF期权,2.4,20150209,20150923,购
10000036.SH,华夏上证50ETF期权1509认沽2.20,OP510050.SH,ETF期权,2.2,20150209,20150923,沽
10000037.SH,华夏上证50ETF期权1509认沽2.25,OP510050.SH,ETF期权,2.25,20150209,20150923,沽
10000038.SH,华夏上证50ETF期权1509认沽2.30,OP510050.SH,ETF期权,2.3,20150209,20150923,沽
10000039.SH,华夏上证50ETF期权1509认沽2.35,OP510050.SH,ETF期权,2.35,20150209,20150923,沽
10000040.SH,华夏上证50ETF期权1509认沽2.40,OP510050.SH,ETF期权,2.4,20150209,20150923,沽
10000041.SH,华夏上证50ETF期权1503认购2.45,OP510050.SH,ETF期权,2.45,20150210,20150325,购
10000042.SH,华夏上证50ETF期权1503认沽2.45,OP510050.SH,ETF期权,2.45,20150210,20150325,沽
10000043.SH,华夏上证50ETF期权1504认购2.45,OP510050.SH,ETF期权,2.45,20150210,20150422,购
10000044.SH,华夏上证50ETF期权1504认沽2.45,OP510050.SH,ETF期权,2.45,20150210,20150422,沽
10000045.SH,华夏上证50ETF期权1506认购2.45,OP510050.SH,ETF期权,2.45,20150210,20150624,购
10000046.SH,华夏上证50ETF期权1506认沽2.45,OP510050.SH,ETF期权,2.45,20150210,20150624,沽
10000047.SH,华夏上证50ETF期权1509认购2.45,OP510050.SH,ETF期权,2.45,20150210,20150923,购
