,st,ed,index,price,type
0,20150209,20150325,10000003.SH,2.3,购
1,20150209,20150325,10000008.SH,2.3,沽
2,20150209,20150422,10000013.SH,2.3,购
3,20150209,20150422,10000018.SH,2.3,沽
4,20150209,20150624,10000023.SH,2.3,购
5,20150209,20150624,10000028.SH,2.3,沽
6,20150209,20150923,10000033.SH,2.3,购
7,20150209,20150923,10000038.SH,2.3,沽
8,20150210,20150325,10000041.SH,2.45,购
9,20150210,20150325,10000042.SH,2.45,沽
10,20150210,20150422,10000043.SH,2.45,购
11,20150210,20150422,10000044.SH,2.45,沽
12,20150210,20150624,10000045.SH,2.45,购
13,20150210,20150624,10000046.SH,2.45,沽
14,20150210,20150923,10000047.SH,2.45,购
15,20150210,20150923,10000048.SH,2.45,沽
16,20150212,20150325,10000049.SH,2.5,购
17,20150212,20150325,10000050.SH,2.5,沽
18,20150212,20150422,10000051.SH,2.5,购
19,20150212,20150422,10000052.SH,2.5,沽
20,20150212,20150624,10000053.SH,2.5,购
21,20150212,20150624,10000054.SH,2.5,沽
22,20150212,20150923,10000055.SH,2.5,购
23,20150212,20150923,10000056.SH,2.5,沽
24,20150227,20150325,10000057.SH,2.55,购
25,20150227,20150325,10000058.SH,2.55,沽
26,20150227,20150422,10000059.SH,2.55,购
27,20150227,20150422,10000060.SH,2.55,沽
28,20150227,20150624,10000061.SH,2.55,购
29,20150227,20150624,10000062.SH,2.55,沽
30,20150227,20150923,10000063.SH,2.55,购
31,20150227,20150923,10000064.SH,2.55,沽
32,20150317,20150325,10000065.SH,2.6,购
33,20150317,20150325,10000066.SH,2.6,沽
34,20150317,20150422,10000067.SH,2.6,购
35,20150317,20150422,10000068.SH,2.6,沽
36,20150317,20150624,10000069.SH,2.6,购
37,20150317,20150624,10000070.SH,2.6,沽
38,20150317,20150923,10000071.SH,2.6,购
39,20150317,20150923,10000072.SH,2.6,沽
40,20150318,20150325,10000073.SH,2.65,购
41,20150318,20150325,10000074.SH,2.65,沽
42,20150318,20150422,10000075.SH,2.65,购
43,20150318,20150422,10000076.SH,2.65,沽
44,20150318,20150624,10000077.SH,2.65,购
45,20150318,20150624,10000078.SH,2.65,沽
46,20150318,20150923,10000079.SH,2.65,购
47,20150318,20150923,10000080.SH,2.65,沽
48,20150319,20150325,10000081.SH,2.7,购
49,20150319,20150325,10000082.SH,2.7,沽
50,20150319,20150422,10000083.SH,2.7,购
51,20150319,20150422,10000084.SH,2.7,沽
52,20150319,20150624,10000085.SH,2.7,购
53,20150319,20150624,10000086.SH,2.7,沽
54,20150319,20150923,10000087.SH,2.7,购
55,20150319,20150923,10000088.SH,2.7,沽
56,20150323,20150325,10000089.SH,2.75,购
57,20150323,20150325,10000090.SH,2.75,沽
58,20150323,20150422,10000091.SH,2.75,购
59,20150323,20150422,10000092.SH,2.75,沽
60,20150323,20150624,10000093.SH,2.75,购
61,20150323,20150624,10000094.SH,2.75,沽
62,20150323,20150923,10000095.SH,2.75,购
63,20150323,20150923,10000096.SH,2.75,沽
64,20150324,20150325,10000097.SH,2.8,购
65,20150324,20150325,10000098.SH,2.8,沽
66,20150324,20150422,10000099.SH,2.8,购
67,20150324,20150422,10000100.SH,2.8,沽
68,20150324,20150624,10000101.SH,2.8,购
69,20150324,20150624,10000102.SH,2.8,沽
70,20150324,20150923,10000103.SH,2.8,购
71,20150324,20150923,10000104.SH,2.8,沽
72,20150326,20150527,10000107.SH,2.6,购
73,20150326,20150527,10000112.SH,2.6,沽
74,20150327,20150527,10000115.SH,2.75,购
75,20150327,20150527,10000116.SH,2.75,沽
76,20150331,20150422,10000117.SH,2.85,购
77,20150331,20150422,10000118.SH,2.85,沽
78,20150331,20150527,10000120.SH,2.85,购
79,20150331,20150527,10000122.SH,2.85,沽
80,20150331,20150624,10000123.SH,2.85,购
81,20150331,20150624,10000124.SH,2.85,沽
82,20150331,20150923,10000125.SH,2.85,购
83,20150331,20150923,10000126.SH,2.85,沽
84,20150408,20150422,10000128.SH,2.95,购
85,20150408,20150422,10000130.SH,2.95,沽
86,20150408,20150527,10000132.SH,2.95,购
87,20150408,20150527,10000134.SH,2.95,沽
88,20150408,20150624,10000136.SH,2.95,购
89,20150408,20150624,10000138.SH,2.95,沽
90,20150408,20150923,10000140.SH,2.95,购
91,20150408,20150923,10000142.SH,2.95,沽
92,20150409,20150422,10000143.SH,3,购
93,20150409,20150422,10000144.SH,3,沽
94,20150409,20150527,10000145.SH,3,购
95,20150409,20150527,10000146.SH,3,沽
96,20150409,20150624,10000147.SH,3,购
97,20150409,20150624,10000148.SH,3,沽
98,20150409,20150923,10000149.SH,3,购
99,20150409,20150923,10000150.SH,3,沽
100,20150413,20150422,10000151.SH,3.1,购
101,20150413,20150422,10000152.SH,3.1,沽
102,20150413,20150527,10000153.SH,3.1,购
103,20150413,20150527,10000154.SH,3.1,沽
104,20150413,20150624,10000155.SH,3.1,购
105,20150413,20150624,10000156.SH,3.1,沽
106,20150413,20150923,10000157.SH,3.1,购
107,20150413,20150923,10000158.SH,3.1,沽
108,20150414,20150422,10000159.SH,3.2,购
109,20150414,20150422,10000160.SH,3.2,沽
110,20150414,20150527,10000161.SH,3.2,购
111,20150414,20150527,10000162.SH,3.2,沽
112,20150414,20150624,10000163.SH,3.2,购
113,20150414,20150624,10000164.SH,3.2,沽
114,20150414,20150923,10000165.SH,3.2,购
115,20150414,20150923,10000166.SH,3.2,沽
116,20150417,20150422,10000167.SH,3.3,购
117,20150417,20150422,10000168.SH,3.3,沽
118,20150417,20150527,10000169.SH,3.3,购
119,20150417,20150527,10000170.SH,3.3,沽
120,20150417,20150624,10000171.SH,3.3,购
121,20150417,20150624,10000172.SH,3.3,沽
122,20150417,20150923,10000173.SH,3.3,购
123,20150417,20150923,10000174.SH,3.3,沽
124,20150420,20150422,10000175.SH,3.4,购
125,20150420,20150422,10000176.SH,3.4,沽
126,20150420,20150527,10000177.SH,3.4,购
127,20150420,20150527,10000178.SH,3.4,沽
128,20150420,20150624,10000179.SH,3.4,购
129,20150420,20150624,10000180.SH,3.4,沽
130,20150420,20150923,10000181.SH,3.4,购
131,20150420,20150923,10000182.SH,3.4,沽
132,20150423,20151223,10000185.SH,3.2,购
133,20150423,20151223,10000190.SH,3.2,沽
134,20150428,20150527,10000193.SH,3.5,购
135,20150428,20150527,10000194.SH,3.5,沽
136,20150428,20150624,10000195.SH,3.5,购
137,20150428,20150624,10000196.SH,3.5,沽
138,20150428,20150923,10000197.SH,3.5,购
139,20150428,20150923,10000198.SH,3.5,沽
140,20150428,20151223,10000199.SH,3.5,购
141,20150428,20151223,10000200.SH,3.5,沽
142,20150506,20151223,10000201.SH,2.95,购
143,20150506,20151223,10000202.SH,2.95,沽
144,20150508,20151223,10000203.SH,2.9,购
145,20150508,20151223,10000204.SH,2.9,沽
146,20150519,20151223,10000205.SH,2.85,购
147,20150519,20151223,10000206.SH,2.85,沽
148,20150528,20150722,10000209.SH,3.3,购
149,20150528,20150722,10000214.SH,3.3,沽
150,20150529,20150722,10000218.SH,3,购
151,20150529,20150722,10000220.SH,3,沽
152,20150609,20150624,10000221.SH,3.6,购
153,20150609,20150624,10000222.SH,3.6,沽
154,20150609,20150722,10000223.SH,3.6,购
155,20150609,20150722,10000224.SH,3.6,沽
156,20150609,20150923,10000225.SH,3.6,购
157,20150609,20150923,10000226.SH,3.6,沽
158,20150609,20151223,10000227.SH,3.6,购
159,20150609,20151223,10000228.SH,3.6,沽
160,20150619,20150722,10000229.SH,2.9,购
161,20150619,20150722,10000230.SH,2.9,沽
162,20150623,20150722,10000232.SH,2.8,购
163,20150623,20150722,10000235.SH,2.8,沽
164,20150623,20151223,10000238.SH,2.8,购
165,20150623,20151223,10000240.SH,2.8,沽
166,20150625,20150826,10000243.SH,3,购
167,20150625,20150826,10000248.SH,3,沽
168,20150626,20150826,10000252.SH,2.85,购
169,20150626,20150826,10000254.SH,2.85,沽
170,20150629,20150722,10000256.SH,2.65,购
171,20150629,20150722,10000259.SH,2.65,沽
172,20150629,20150826,10000263.SH,2.7,购
173,20150629,20150826,10000267.SH,2.7,沽
174,20150629,20151223,10000270.SH,2.65,购
175,20150629,20151223,10000273.SH,2.65,沽
176,20150630,20150722,10000275.SH,2.55,购
177,20150630,20150722,10000276.SH,2.55,沽
178,20150630,20150826,10000277.SH,2.55,购
179,20150630,20150826,10000278.SH,2.55,沽
180,20150630,20151223,10000279.SH,2.55,购
181,20150630,20151223,10000280.SH,2.55,沽
182,20150706,20150722,10000281.SH,2.5,购
183,20150706,20150722,10000282.SH,2.5,沽
184,20150706,20150826,10000283.SH,2.5,购
185,20150706,20150826,10000284.SH,2.5,沽
186,20150706,20151223,10000285.SH,2.5,购
187,20150706,20151223,10000286.SH,2.5,沽
188,20150723,20160323,10000289.SH,2.75,购
189,20150723,20160323,10000294.SH,2.75,沽
190,20150724,20160323,10000297.SH,2.9,购
191,20150724,20160323,10000298.SH,2.9,沽
192,20150728,20150826,10000300.SH,2.45,购
193,20150728,20150826,10000302.SH,2.45,沽
194,20150728,20151223,10000304.SH,2.45,购
195,20150728,20151223,10000306.SH,2.45,沽
196,20150728,20160323,10000309.SH,2.5,购
197,20150728,20160323,10000314.SH,2.5,沽
198,20150731,20150826,10000317.SH,2.35,购
199,20150731,20150826,10000318.SH,2.35,沽
200,20150731,20151223,10000319.SH,2.35,购
201,20150731,20151223,10000320.SH,2.35,沽
202,20150731,20160323,10000321.SH,2.35,购
203,20150731,20160323,10000322.SH,2.35,沽
204,20150819,20150826,10000323.SH,2.3,购
205,20150819,20150826,10000324.SH,2.3,沽
206,20150819,20151223,10000325.SH,2.3,购
207,20150819,20151223,10000326.SH,2.3,沽
208,20150819,20160323,10000327.SH,2.3,购
209,20150819,20160323,10000328.SH,2.3,沽
210,20150821,20150826,10000329.SH,2.25,购
211,20150821,20150826,10000330.SH,2.25,沽
212,20150821,20151223,10000331.SH,2.25,购
213,20150821,20151223,10000332.SH,2.25,沽
214,20150821,20160323,10000333.SH,2.25,购
215,20150821,20160323,10000334.SH,2.25,沽
216,20150824,20150826,10000336.SH,2.2,购
217,20150824,20150826,10000338.SH,2.2,沽
218,20150824,20150923,10000339.SH,2.15,购
219,20150824,20150923,10000340.SH,2.15,沽
220,20150824,20151223,10000342.SH,2.2,购
221,20150824,20151223,10000344.SH,2.2,沽
222,20150824,20160323,10000346.SH,2.2,购
223,20150824,20160323,10000348.SH,2.2,沽
224,20150825,20150826,10000351.SH,2.05,购
225,20150825,20150826,10000355.SH,2.05,沽
226,20150825,20150923,10000359.SH,2.05,购
227,20150825,20150923,10000363.SH,2.05,沽
228,20150825,20151223,10000367.SH,2.05,购
229,20150825,20151223,10000371.SH,2.05,沽
230,20150825,20160323,10000375.SH,2.05,购
231,20150825,20160323,10000379.SH,2.05,沽
232,20150826,20150826,10000382.SH,1.85,购
233,20150826,20150826,10000385.SH,1.85,沽
234,20150826,20150923,10000388.SH,1.85,购
235,20150826,20150923,10000391.SH,1.85,沽
236,20150826,20151223,10000394.SH,1.85,购
237,20150826,20151223,10000397.SH,1.85,沽
238,20150826,20160323,10000400.SH,1.85,购
239,20150826,20160323,10000403.SH,1.85,沽
