,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
0,20150209,10000003.SH,2.3,0.1272,0.123,0.1225,0.1364,0.1134,1323.0,167.5003,509.0
1,20150210,10000003.SH,2.3,0.1237,0.1367,0.1367,0.143,0.1167,635.0,84.0929,510.0
2,20150211,10000003.SH,2.3,0.1374,0.1363,0.1363,0.1451,0.128,1063.0,146.4044,741.0
3,20150212,10000003.SH,2.3,0.1361,0.1337,0.1323,0.1372,0.12,873.0,113.6833,804.0
4,20150213,10000003.SH,2.3,0.1351,0.1281,0.1281,0.155,0.1257,2851.0,384.1252,703.0
5,20150216,10000003.SH,2.3,0.1286,0.131,0.131,0.1351,0.1228,205.0,26.2281,708.0
6,20150217,10000003.SH,2.3,0.1335,0.1413,0.1419,0.1524,0.1335,270.0,39.5887,622.0
7,20150225,10000003.SH,2.3,0.1387,0.1075,0.1075,0.1387,0.0997,853.0,101.6214,876.0
8,20150226,10000003.SH,2.3,0.1035,0.1628,0.1628,0.1628,0.0973,455.0,57.9383,875.0
9,20150227,10000003.SH,2.3,0.1668,0.1648,0.1656,0.1808,0.1539,341.0,57.8093,846.0
10,20150302,10000003.SH,2.3,0.1661,0.1597,0.1624,0.1795,0.1534,468.0,77.3269,927.0
11,20150303,10000003.SH,2.3,0.1518,0.1028,0.1028,0.1518,0.1028,221.0,27.9194,860.0
12,20150304,10000003.SH,2.3,0.1059,0.0992,0.1,0.1157,0.09,493.0,49.9861,887.0
13,20150305,10000003.SH,2.3,0.0944,0.0743,0.0743,0.0991,0.0509,1760.0,137.0051,1225.0
14,20150306,10000003.SH,2.3,0.0777,0.0779,0.078,0.0897,0.075,986.0,79.5285,1233.0
15,20150309,10000003.SH,2.3,0.074,0.1133,0.117,0.1197,0.0496,1432.0,111.1978,1408.0
16,20150310,10000003.SH,2.3,0.1105,0.0859,0.0859,0.1105,0.0843,804.0,76.0243,1253.0
17,20150311,10000003.SH,2.3,0.0897,0.0894,0.0881,0.118,0.0866,597.0,59.9238,1157.0
18,20150312,10000003.SH,2.3,0.095,0.149,0.149,0.1721,0.095,848.0,116.2395,1169.0
19,20150313,10000003.SH,2.3,0.1553,0.1584,0.1563,0.1941,0.1486,413.0,70.9101,1077.0
20,20150316,10000003.SH,2.3,0.1654,0.2127,0.2055,0.206,0.1567,793.0,150.338,1113.0
21,20150317,10000003.SH,2.3,0.2225,0.2453,0.2331,0.2431,0.2138,403.0,92.825,1141.0
22,20150318,10000003.SH,2.3,0.2513,0.3128,0.3096,0.3096,0.2513,296.0,81.7774,1057.0
23,20150319,10000003.SH,2.3,0.2925,0.2886,0.2865,0.3006,0.2773,255.0,74.0801,1004.0
24,20150320,10000003.SH,2.3,0.2967,0.3364,0.332,0.3659,0.285,830.0,264.079,713.0
25,20150323,10000003.SH,2.3,0.3532,0.3794,0.3796,0.3821,0.35,88.0,31.754,674.0
26,20150324,10000003.SH,2.3,0.3796,0.34,0.3407,0.3796,0.3115,107.0,36.5176,648.0
27,20150325,10000003.SH,2.3,0.338,0.304,0.302,0.341,0.2862,173.0,52.3425,629.0
28,20150210,10000041.SH,2.45,0.0577,0.0659,0.0622,0.0678,0.0563,1023.0,64.5427,368.0
29,20150211,10000041.SH,2.45,0.0666,0.0591,0.0591,0.0703,0.0557,1952.0,120.9209,978.0
30,20150212,10000041.SH,2.45,0.06,0.0536,0.0536,0.06,0.0453,1442.0,73.2287,1234.0
31,20150213,10000041.SH,2.45,0.0545,0.0429,0.0429,0.0635,0.0426,2335.0,126.6376,1382.0
32,20150216,10000041.SH,2.45,0.0429,0.0453,0.0453,0.0481,0.0416,299.0,13.3672,1466.0
33,20150217,10000041.SH,2.45,0.0444,0.0522,0.0525,0.0575,0.0444,432.0,22.867,1588.0
34,20150225,10000041.SH,2.45,0.0504,0.0333,0.0333,0.0504,0.03,1572.0,61.2752,1722.0
35,20150226,10000041.SH,2.45,0.032,0.0655,0.0655,0.0655,0.0292,867.0,41.1135,1855.0
36,20150227,10000041.SH,2.45,0.0663,0.0618,0.0618,0.0755,0.0573,1421.0,93.7578,2088.0
37,20150302,10000041.SH,2.45,0.064,0.0641,0.0641,0.0798,0.0595,1170.0,79.173,2152.0
38,20150303,10000041.SH,2.45,0.062,0.0301,0.0301,0.0625,0.03,786.0,32.9001,2111.0
39,20150304,10000041.SH,2.45,0.0311,0.0274,0.0274,0.0353,0.0237,1013.0,29.1432,2143.0
40,20150305,10000041.SH,2.45,0.0259,0.0159,0.0159,0.0389,0.0132,2280.0,43.194,2509.0
41,20150306,10000041.SH,2.45,0.0156,0.016,0.016,0.0216,0.015,1996.0,35.7457,2346.0
42,20150309,10000041.SH,2.45,0.0152,0.0271,0.0271,0.0307,0.0076,3167.0,56.7809,2882.0
43,20150310,10000041.SH,2.45,0.0269,0.0155,0.0158,0.0269,0.015,1279.0,24.3348,2679.0
44,20150311,10000041.SH,2.45,0.0155,0.0146,0.0147,0.0278,0.0135,1239.0,24.6041,2635.0
45,20150312,10000041.SH,2.45,0.0154,0.0386,0.0384,0.0496,0.0154,1763.0,60.7959,2637.0
46,20150313,10000041.SH,2.45,0.0402,0.0412,0.0411,0.0639,0.0362,1267.0,64.741,2604.0
47,20150316,10000041.SH,2.45,0.043,0.0702,0.0702,0.0728,0.04,1801.0,100.6451,2538.0
48,20150317,10000041.SH,2.45,0.0788,0.0948,0.0948,0.1012,0.0788,722.0,65.4276,2385.0
49,20150318,10000041.SH,2.45,0.099,0.1612,0.1612,0.1613,0.099,912.0,115.709,2013.0
50,20150319,10000041.SH,2.45,0.1555,0.1373,0.1355,0.1555,0.1298,447.0,62.7607,1883.0
51,20150320,10000041.SH,2.45,0.1434,0.1879,0.1888,0.2149,0.1317,1069.0,183.2537,1464.0
52,20150323,10000041.SH,2.45,0.215,0.2266,0.225,0.23,0.1948,548.0,116.701,1255.0
53,20150324,10000041.SH,2.45,0.2266,0.1899,0.1855,0.2266,0.1708,123.0,23.9205,1225.0
54,20150325,10000041.SH,2.45,0.188,0.154,0.1511,0.1946,0.1348,495.0,78.2733,1249.0
