trade_date,price,open,settle,close,high,low,vol,amount,oi
20150209,2.3,0.1272,0.123,0.1225,0.1364,0.1134,1323,167.5003,509
20150210,2.45,0.0577,0.0659,0.0622,0.0678,0.0563,1023,64.5427,368
20150210,2.3,0.1237,0.1367,0.1367,0.143,0.1167,635,84.0929,510
20150211,2.45,0.0666,0.0591,0.0591,0.0703,0.0557,1952,120.9209,978
20150211,2.3,0.1374,0.1363,0.1363,0.1451,0.128,1063,146.4044,741
20150212,2.5,0.0434,0.0373,0.0373,0.0434,0.0315,1599,58.1043,472
20150212,2.45,0.06,0.0536,0.0536,0.06,0.0453,1442,73.2287,1234
20150212,2.3,0.1361,0.1337,0.1323,0.1372,0.12,873,113.6833,804
20150213,2.5,0.0381,0.0294,0.0294,0.0442,0.0287,3069,114.5702,986
20150213,2.45,0.0545,0.0429,0.0429,0.0635,0.0426,2335,126.6376,1382
20150213,2.3,0.1351,0.1281,0.1281,0.155,0.1257,2851,384.1252,703
20150216,2.5,0.029,0.0304,0.0304,0.0329,0.0269,422,12.6199,1083
20150216,2.45,0.0429,0.0453,0.0453,0.0481,0.0416,299,13.3672,1466
20150216,2.3,0.1286,0.131,0.131,0.1351,0.1228,205,26.2281,708
20150217,2.5,0.0296,0.0348,0.0343,0.0388,0.0296,742,26.0776,1224
20150217,2.45,0.0444,0.0522,0.0525,0.0575,0.0444,432,22.867,1588
20150217,2.3,0.1335,0.1413,0.1419,0.1524,0.1335,270,39.5887,622
20150225,2.5,0.0333,0.0208,0.0208,0.0333,0.0185,1866,46.7399,1252
20150225,2.45,0.0504,0.0333,0.0333,0.0504,0.03,1572,61.2752,1722
20150225,2.3,0.1387,0.1075,0.1075,0.1387,0.0997,853,101.6214,876
20150226,2.5,0.0205,0.0436,0.0436,0.0438,0.018,1131,35.0969,1439
20150226,2.45,0.032,0.0655,0.0655,0.0655,0.0292,867,41.1135,1855
20150226,2.3,0.1035,0.1628,0.1628,0.1628,0.0973,455,57.9383,875
20150227,2.55,0.0292,0.0272,0.0272,0.0347,0.0246,3051,89.8304,926
20150227,2.5,0.0449,0.0418,0.0418,0.0524,0.0365,2095,94.7581,1668
20150227,2.45,0.0663,0.0618,0.0618,0.0755,0.0573,1421,93.7578,2088
20150227,2.3,0.1668,0.1648,0.1656,0.1808,0.1539,341,57.8093,846
20150302,2.55,0.0283,0.029,0.029,0.0348,0.0264,1343,40.3327,1250
20150302,2.5,0.0434,0.0433,0.0433,0.052,0.0403,1304,58.5622,1920
20150302,2.45,0.064,0.0641,0.0641,0.0798,0.0595,1170,79.173,2152
20150302,2.3,0.1661,0.1597,0.1624,0.1795,0.1534,468,77.3269,927
20150303,2.55,0.0275,0.0108,0.0108,0.0275,0.0106,1308,22.5219,1603
20150303,2.5,0.0415,0.0181,0.0181,0.0415,0.018,749,21.371,2079
20150303,2.45,0.062,0.0301,0.0301,0.0625,0.03,786,32.9001,2111
20150303,2.3,0.1518,0.1028,0.1028,0.1518,0.1028,221,27.9194,860
20150304,2.55,0.011,0.009,0.009,0.0127,0.008,1151,11.8626,1963
20150304,2.5,0.0183,0.016,0.016,0.0214,0.0139,1420,24.1815,2201
20150304,2.45,0.0311,0.0274,0.0274,0.0353,0.0237,1013,29.1432,2143
20150304,2.3,0.1059,0.0992,0.1,0.1157,0.09,493,49.9861,887
20150305,2.55,0.0085,0.0045,0.0045,0.0116,0.0039,1046,5.8899,2116
20150305,2.5,0.0152,0.0084,0.0084,0.0228,0.0073,1376,14.4865,2251
20150305,2.45,0.0259,0.0159,0.0159,0.0389,0.0132,2280,43.194,2509
20150305,2.3,0.0944,0.0743,0.0743,0.0991,0.0509,1760,137.0051,1225
20150306,2.55,0.0044,0.0043,0.0043,0.0068,0.0043,1117,5.9261,2221
20150306,2.5,0.0084,0.0085,0.0085,0.012,0.008,2098,21.1495,2249
20150306,2.45,0.0156,0.016,0.016,0.0216,0.015,1996,35.7457,2346
20150306,2.3,0.0777,0.0779,0.078,0.0897,0.075,986,79.5285,1233
20150309,2.55,0.004,0.0073,0.0073,0.0089,0.0018,1826,8.4587,2293
20150309,2.5,0.0081,0.0148,0.0148,0.0172,0.0037,2369,25.1009,2433
20150309,2.45,0.0152,0.0271,0.0271,0.0307,0.0076,3167,56.7809,2882
20150309,2.3,0.074,0.1133,0.117,0.1197,0.0496,1432,111.1978,1408
20150310,2.55,0.007,0.0032,0.0032,0.007,0.0032,777,3.4797,2297
20150310,2.5,0.0143,0.0073,0.0072,0.0143,0.0072,806,8.0344,2205
20150310,2.45,0.0269,0.0155,0.0158,0.0269,0.015,1279,24.3348,2679
20150310,2.3,0.1105,0.0859,0.0859,0.1105,0.0843,804,76.0243,1253
