,trade_date,ts_code,price,open,settle,close,high,low,vol,amount,oi
0,20150209,10000008.SH,2.3,0.1251,0.0969,0.0969,0.1296,0.0922,852,95.2293,399
1,20150210,10000008.SH,2.3,0.0945,0.0746,0.0757,0.1006,0.073,556,44.5014,618
28,20150210,10000042.SH,2.45,0.187,0.1537,0.154,0.1876,0.1492,695,111.7701,251
2,20150211,10000008.SH,2.3,0.0731,0.0564,0.0564,0.0731,0.0548,902,55.8124,741
29,20150211,10000042.SH,2.45,0.1522,0.1297,0.1297,0.1522,0.1261,825,111.951,443
3,20150212,10000008.SH,2.3,0.0546,0.0471,0.0471,0.0611,0.0456,983,53.6815,750
30,20150212,10000042.SH,2.45,0.13,0.1168,0.1165,0.138,0.1157,671,84.1008,442
55,20150212,10000050.SH,2.5,0.1617,0.1519,0.1502,0.1735,0.1477,846,133.7744,168
4,20150213,10000008.SH,2.3,0.0466,0.035,0.035,0.0466,0.0261,1740,57.8306,952
31,20150213,10000042.SH,2.45,0.1167,0.1044,0.1044,0.1167,0.0827,1431,140.2698,565
56,20150213,10000050.SH,2.5,0.1518,0.1345,0.1345,0.1518,0.1122,2480,313.2172,677
5,20150216,10000008.SH,2.3,0.034,0.0305,0.0305,0.0345,0.0288,964,31.2684,986
32,20150216,10000042.SH,2.45,0.1013,0.0973,0.0973,0.104,0.0922,399,39.5557,517
57,20150216,10000050.SH,2.5,0.1339,0.1288,0.1284,0.1374,0.1258,465,61.6911,569
6,20150217,10000008.SH,2.3,0.0306,0.029,0.0291,0.0306,0.0226,662,17.159,1079
33,20150217,10000042.SH,2.45,0.0944,0.0882,0.0882,0.0944,0.077,513,42.5444,520
58,20150217,10000050.SH,2.5,0.13,0.1204,0.1203,0.13,0.1083,822,93.292,468
7,20150225,10000008.SH,2.3,0.028,0.0358,0.0358,0.0376,0.0272,378,11.6862,1173
34,20150225,10000042.SH,2.45,0.0854,0.1119,0.1119,0.1147,0.0854,347,35.2807,510
59,20150225,10000050.SH,2.5,0.117,0.1483,0.1483,0.1508,0.117,455,60.8503,449
8,20150226,10000008.SH,2.3,0.0359,0.0181,0.0181,0.042,0.0181,769,21.5933,1183
35,20150226,10000042.SH,2.45,0.1156,0.0667,0.0667,0.1222,0.0667,375,34.8899,616
60,20150226,10000050.SH,2.5,0.1537,0.0965,0.0967,0.1603,0.0967,616,77.1712,638
9,20150227,10000008.SH,2.3,0.0176,0.0194,0.0194,0.0214,0.0157,1298,23.6772,1358
36,20150227,10000042.SH,2.45,0.0672,0.0713,0.0713,0.0751,0.0606,983,67.0556,725
61,20150227,10000050.SH,2.5,0.0952,0.1011,0.1011,0.1046,0.088,478,46.0638,525
80,20150227,10000058.SH,2.55,0.1258,0.1339,0.1336,0.1378,0.1209,253,32.5926,184
10,20150302,10000008.SH,2.3,0.0189,0.0178,0.0175,0.0215,0.0166,911,16.8538,1624
37,20150302,10000042.SH,2.45,0.0692,0.0705,0.0705,0.0767,0.0623,671,47.0121,808
62,20150302,10000050.SH,2.5,0.0977,0.1002,0.1011,0.1058,0.0887,510,50.0426,486
81,20150302,10000058.SH,2.55,0.1305,0.1306,0.1304,0.1411,0.1225,437,58.0695,313
11,20150303,10000008.SH,2.3,0.0185,0.0339,0.0339,0.0348,0.0185,687,18.613,1817
38,20150303,10000042.SH,2.45,0.0726,0.1136,0.1136,0.1136,0.0726,374,35.1889,859
63,20150303,10000050.SH,2.5,0.1032,0.15,0.153,0.153,0.1032,323,42.0228,550
82,20150303,10000058.SH,2.55,0.1351,0.192,0.192,0.1943,0.1351,358,58.9077,476
12,20150304,10000008.SH,2.3,0.0332,0.0312,0.0312,0.0391,0.0291,1324,43.6775,1584
39,20150304,10000042.SH,2.45,0.1102,0.1096,0.1096,0.1208,0.1006,327,36.8306,788
64,20150304,10000050.SH,2.5,0.1455,0.1451,0.1451,0.1655,0.134,303,44.7248,577
83,20150304,10000058.SH,2.55,0.1862,0.1933,0.195,0.2051,0.1759,185,34.8772,473
13,20150305,10000008.SH,2.3,0.0326,0.039,0.039,0.0489,0.0326,1615,64.7737,1459
40,20150305,10000042.SH,2.45,0.1129,0.1307,0.1307,0.1419,0.1049,1055,136.492,796
65,20150305,10000050.SH,2.5,0.1509,0.1718,0.1739,0.1897,0.1509,745,128.4424,467
84,20150305,10000058.SH,2.55,0.199,0.2165,0.2165,0.2746,0.199,890,196.4439,333
14,20150306,10000008.SH,2.3,0.0379,0.0354,0.0354,0.0379,0.0295,2182,70.3029,1322
41,20150306,10000042.SH,2.45,0.1248,0.124,0.1237,0.1254,0.1111,711,85.489,800
66,20150306,10000050.SH,2.5,0.1641,0.165,0.165,0.1672,0.1532,366,59.013,514
85,20150306,10000058.SH,2.55,0.21,0.2123,0.2119,0.2158,0.194,315,64.8725,389
15,20150309,10000008.SH,2.3,0.0367,0.018,0.018,0.0514,0.0161,3420,111.6098,1492
42,20150309,10000042.SH,2.45,0.129,0.083,0.083,0.1587,0.078,3912,404.3369,1088
67,20150309,10000050.SH,2.5,0.1723,0.12,0.1198,0.2067,0.1152,1386,216.4393,458
86,20150309,10000058.SH,2.55,0.2187,0.1623,0.1623,0.2552,0.1573,1485,313.9746,595
16,20150310,10000008.SH,2.3,0.0178,0.0225,0.0223,0.0252,0.0171,763,15.8755,1531
43,20150310,10000042.SH,2.45,0.0842,0.1033,0.1043,0.1046,0.0836,728,69.5676,1050
68,20150310,10000050.SH,2.5,0.1215,0.1447,0.1464,0.1468,0.1215,582,78.8892,465
87,20150310,10000058.SH,2.55,0.1644,0.1911,0.1937,0.195,0.1644,727,131.3901,564
17,20150311,10000008.SH,2.3,0.0218,0.0172,0.0171,0.0218,0.0123,996,16.0297,1648
44,20150311,10000042.SH,2.45,0.0998,0.0931,0.0963,0.0998,0.0722,667,55.9465,979
69,20150311,10000050.SH,2.5,0.1391,0.1339,0.1348,0.1391,0.1067,842,102.9664,628
88,20150311,10000058.SH,2.55,0.1838,0.1795,0.18,0.1859,0.152,587,99.0938,596
18,20150312,10000008.SH,2.3,0.016,0.0051,0.0051,0.016,0.0042,705,5.8815,1647
45,20150312,10000042.SH,2.45,0.0867,0.044,0.044,0.09,0.0353,992,54.0704,1023
70,20150312,10000050.SH,2.5,0.1256,0.0723,0.0723,0.1256,0.0627,855,73.9477,541
89,20150312,10000058.SH,2.55,0.1714,0.1086,0.1086,0.1714,0.0987,1001,126.5683,588
19,20150313,10000008.SH,2.3,0.0042,0.0032,0.0032,0.0048,0.0022,544,1.8153,1736
46,20150313,10000042.SH,2.45,0.0423,0.0381,0.0387,0.0447,0.0247,1170,39.2057,1047
71,20150313,10000050.SH,2.5,0.0699,0.0663,0.0663,0.075,0.0464,627,37.1651,596
90,20150313,10000058.SH,2.55,0.1071,0.1023,0.1023,0.1127,0.078,728,68.3069,575
20,20150316,10000008.SH,2.3,0.003,0.0005,0.0005,0.003,0.0005,213,0.3423,1733
47,20150316,10000042.SH,2.45,0.0362,0.0144,0.0144,0.0362,0.0141,1239,29.2087,953
72,20150316,10000050.SH,2.5,0.0636,0.0312,0.0309,0.0636,0.0303,1175,52.3725,560
91,20150316,10000058.SH,2.55,0.0972,0.0617,0.0617,0.0998,0.0612,988,77.9673,627
21,20150317,10000008.SH,2.3,0.0004,0.0003,0.0002,0.0009,0.0001,164,0.0949,1645
48,20150317,10000042.SH,2.45,0.0119,0.0068,0.0071,0.0119,0.0067,668,5.6629,918
73,20150317,10000050.SH,2.5,0.0272,0.0175,0.0175,0.0272,0.0171,1001,20.6323,594
92,20150317,10000058.SH,2.55,0.054,0.0405,0.0413,0.054,0.0376,824,36.1046,644
99,20150317,10000068.SH,2.6,0.1278,0.1144,0.1167,0.1278,0.1113,421,49.2627,158
22,20150318,10000008.SH,2.3,0.0003,0.0002,0.0001,0.0005,0.0001,28,0.0081,1631
49,20150318,10000042.SH,2.45,0.0057,0.0008,0.0008,0.0057,0.0008,507,1.5785,815
74,20150318,10000050.SH,2.5,0.0163,0.004,0.004,0.0163,0.004,905,8.9227,625
93,20150318,10000058.SH,2.55,0.0375,0.0119,0.0119,0.0375,0.0119,1532,35.7603,838
100,20150318,10000068.SH,2.6,0.1094,0.0793,0.0803,0.1094,0.0769,267,24.9419,230
125,20150318,10000076.SH,2.65,0.1404,0.107,0.107,0.1404,0.107,400,49.2008,217
23,20150319,10000008.SH,2.3,0.0002,0.0002,0.0002,0.0002,0.0001,18,0.003,1638
50,20150319,10000042.SH,2.45,0.0008,0.0013,0.0013,0.0021,0.0008,340,0.4727,732
75,20150319,10000050.SH,2.5,0.004,0.0063,0.0063,0.0077,0.004,503,2.7628,603
94,20150319,10000058.SH,2.55,0.0128,0.018,0.018,0.0209,0.0128,1240,20.2366,785
101,20150319,10000068.SH,2.6,0.0816,0.0879,0.0859,0.09,0.08,301,25.317,276
126,20150319,10000076.SH,2.65,0.1096,0.1162,0.1146,0.1191,0.1067,247,27.9639,300
150,20150319,10000084.SH,2.7,0.1413,0.1481,0.1481,0.155,0.1377,275,40.3292,171
24,20150320,10000008.SH,2.3,0.0001,0.0002,0.0001,0.0002,0.0001,261,0.0268,1566
51,20150320,10000042.SH,2.45,0.001,0.0002,0.0002,0.0015,0.0001,223,0.1695,789
76,20150320,10000050.SH,2.5,0.0054,0.0011,0.0011,0.0056,0.0006,370,1.0589,740
95,20150320,10000058.SH,2.55,0.0169,0.0052,0.0052,0.0178,0.0025,1801,21.0657,782
102,20150320,10000068.SH,2.6,0.0844,0.065,0.065,0.0882,0.0566,423,29.8409,356
127,20150320,10000076.SH,2.65,0.1116,0.0908,0.0916,0.1209,0.0769,419,40.1204,275
151,20150320,10000084.SH,2.7,0.1432,0.1177,0.1177,0.1566,0.1029,609,78.3947,264
25,20150323,10000008.SH,2.3,0.0003,0.0002,0.0001,0.0003,0.0001,401,0.0497,1478
52,20150323,10000042.SH,2.45,0.0001,0.0002,0.0001,0.0003,0.0001,57,0.0074,785
77,20150323,10000050.SH,2.5,0.0005,0.0004,0.0004,0.001,0.0001,180,0.0794,622
96,20150323,10000058.SH,2.55,0.0029,0.0012,0.0012,0.0029,0.0007,276,0.3989,765
103,20150323,10000068.SH,2.6,0.0561,0.0553,0.0553,0.0606,0.0505,361,20.0191,379
128,20150323,10000076.SH,2.65,0.0771,0.0768,0.0768,0.0839,0.0698,543,41.7977,338
152,20150323,10000084.SH,2.7,0.1027,0.1015,0.1023,0.112,0.0926,468,48.1632,389
174,20150323,10000092.SH,2.75,0.1341,0.1297,0.1297,0.1434,0.1244,424,56.3724,141
26,20150324,10000008.SH,2.3,0.0003,0.0002,0.0002,0.0003,0.0001,8,0.0014,1476
53,20150324,10000042.SH,2.45,0.0002,0.0003,0.0003,0.0003,0.0001,23,0.0039,774
78,20150324,10000050.SH,2.5,0.0005,0.0003,0.0003,0.0005,0.0001,59,0.0199,595
97,20150324,10000058.SH,2.55,0.0007,0.0005,0.0005,0.0026,0.0002,303,0.3073,637
104,20150324,10000068.SH,2.6,0.0529,0.069,0.069,0.0778,0.0529,473,31.033,469
129,20150324,10000076.SH,2.65,0.0733,0.0888,0.0895,0.1039,0.0733,350,30.3425,418
153,20150324,10000084.SH,2.7,0.0986,0.1156,0.1156,0.1346,0.0985,618,71.5222,462
175,20150324,10000092.SH,2.75,0.1282,0.1502,0.1518,0.1688,0.1282,273,39.9453,244
196,20150324,10000100.SH,2.8,0.1706,0.1872,0.186,0.2057,0.1658,414,75.7792,144
27,20150325,10000008.SH,2.3,0.0002,0,0.0001,0.0002,0.0001,52,0.0057,1458
54,20150325,10000042.SH,2.45,0.0004,0,0.0001,0.0004,0.0001,35,0.0064,763
79,20150325,10000050.SH,2.5,0.0001,0,0.0001,0.0004,0.0001,74,0.0184,592
98,20150325,10000058.SH,2.55,0.0006,0,0.0001,0.001,0.0001,223,0.1312,725
105,20150325,10000068.SH,2.6,0.0687,0.0797,0.0797,0.0875,0.0656,521,39.7381,630
130,20150325,10000076.SH,2.65,0.0926,0.1065,0.1063,0.1177,0.089,492,49.6794,507
154,20150325,10000084.SH,2.7,0.1202,0.1403,0.1407,0.1507,0.116,333,44.1386,519
176,20150325,10000092.SH,2.75,0.1563,0.1741,0.1741,0.1864,0.154,270,45.4897,282
197,20150325,10000100.SH,2.8,0.1925,0.2163,0.2163,0.2289,0.1925,241,51.8228,225
106,20150326,10000068.SH,2.6,0.0801,0.0636,0.0636,0.0898,0.0521,984,63.7192,754
131,20150326,10000076.SH,2.65,0.1088,0.0883,0.0883,0.12,0.0744,532,47.6763,593
155,20150326,10000084.SH,2.7,0.1431,0.1199,0.121,0.1524,0.1014,384,45.5525,552
177,20150326,10000092.SH,2.75,0.1814,0.153,0.151,0.1943,0.1326,294,45.1021,333
198,20150326,10000100.SH,2.8,0.2221,0.1901,0.1904,0.2391,0.1685,498,95.5825,373
107,20150327,10000068.SH,2.6,0.061,0.0583,0.0583,0.069,0.0502,667,39.7166,820
132,20150327,10000076.SH,2.65,0.0845,0.0822,0.0822,0.0939,0.0704,313,24.983,622
156,20150327,10000084.SH,2.7,0.1145,0.1098,0.1073,0.1226,0.0956,206,22.4299,553
178,20150327,10000092.SH,2.75,0.1462,0.1418,0.1399,0.1584,0.1286,162,22.7549,363
199,20150327,10000100.SH,2.8,0.1815,0.1825,0.1825,0.1984,0.1652,321,57.8854,378
108,20150330,10000068.SH,2.6,0.0548,0.0305,0.0297,0.0548,0.0282,579,23.4143,969
133,20150330,10000076.SH,2.65,0.0769,0.0456,0.0444,0.0769,0.0421,531,31.0137,784
157,20150330,10000084.SH,2.7,0.0997,0.0656,0.0656,0.1012,0.0602,533,42.6229,630
179,20150330,10000092.SH,2.75,0.1355,0.0891,0.0877,0.1357,0.0842,341,38.3909,382
200,20150330,10000100.SH,2.8,0.1732,0.118,0.118,0.1732,0.113,744,103.6283,846
109,20150331,10000068.SH,2.6,0.0229,0.0367,0.0367,0.0388,0.0165,863,20.8411,926
134,20150331,10000076.SH,2.65,0.0345,0.0554,0.056,0.0574,0.0251,874,33.1845,720
158,20150331,10000084.SH,2.7,0.0512,0.0755,0.0755,0.0789,0.0377,990,54.7874,721
180,20150331,10000092.SH,2.75,0.073,0.1059,0.1064,0.1089,0.0566,599,48.8292,503
201,20150331,10000100.SH,2.8,0.0999,0.1369,0.1369,0.1406,0.0756,955,101.4925,833
217,20150331,10000118.SH,2.85,0.13,0.1756,0.1756,0.1797,0.1031,346,47.2476,126
110,20150401,10000068.SH,2.6,0.0359,0.0296,0.0296,0.037,0.0253,775,24.3948,1097
135,20150401,10000076.SH,2.65,0.0532,0.0442,0.0442,0.0548,0.0381,1144,53.2184,994
159,20150401,10000084.SH,2.7,0.0755,0.06,0.06,0.0782,0.0559,699,47.1125,872
181,20150401,10000092.SH,2.75,0.1013,0.0828,0.0828,0.1018,0.0759,807,72.2511,871
202,20150401,10000100.SH,2.8,0.136,0.1155,0.1155,0.136,0.102,1047,125.4451,1230
218,20150401,10000118.SH,2.85,0.1677,0.1448,0.1485,0.1738,0.138,379,58.7138,339
111,20150402,10000068.SH,2.6,0.0285,0.0349,0.0353,0.0417,0.0238,957,31.9646,1187
136,20150402,10000076.SH,2.65,0.0425,0.0507,0.0521,0.062,0.0346,871,43.6706,1183
160,20150402,10000084.SH,2.7,0.0252,0.0699,0.0699,0.0835,0.0252,1443,85.1082,1129
182,20150402,10000092.SH,2.75,0.0793,0.0947,0.0929,0.11,0.0729,645,59.9272,923
203,20150402,10000100.SH,2.8,0.1104,0.1223,0.1223,0.1416,0.097,833,99.3371,1214
219,20150402,10000118.SH,2.85,0.1384,0.1555,0.1555,0.1748,0.1311,429,66.9605,384
112,20150403,10000068.SH,2.6,0.0361,0.0261,0.0261,0.037,0.0261,811,24.8383,1513
137,20150403,10000076.SH,2.65,0.0526,0.0381,0.0381,0.0542,0.0381,941,43.0863,1389
161,20150403,10000084.SH,2.7,0.0729,0.0556,0.0556,0.0738,0.0552,1098,69.6737,1428
183,20150403,10000092.SH,2.75,0.0989,0.0787,0.0787,0.1015,0.0748,794,70.6626,1223
204,20150403,10000100.SH,2.8,0.128,0.1008,0.1008,0.1323,0.1008,852,99.097,1369
220,20150403,10000118.SH,2.85,0.1607,0.1352,0.1352,0.1696,0.1352,420,62.7347,533
113,20150407,10000068.SH,2.6,0.0253,0.0126,0.0126,0.0253,0.0126,840,14.8063,1731
138,20150407,10000076.SH,2.65,0.0367,0.0197,0.0197,0.0367,0.0191,1303,34.318,1710
162,20150407,10000084.SH,2.7,0.0533,0.0306,0.0306,0.0537,0.0296,1189,45.3278,1527
184,20150407,10000092.SH,2.75,0.0753,0.0454,0.0454,0.0753,0.045,1326,75.6222,1495
205,20150407,10000100.SH,2.8,0.0998,0.0673,0.0673,0.0998,0.0655,1338,107.8733,1827
